group,team
A,Mexico
A,South Korea
A,South Africa
A,Czechia
B,Canada
B,Switzerland
B,Qatar
B,Bosnia and Herzegovina
C,Brazil
C,Morocco
C,Scotland
C,Haiti
D,USA
D,Turkey
D,Australia
D,Paraguay
E,Germany
E,Ivory Coast
E,Ecuador
E,Curacao
F,Netherlands
F,Japan
F,Sweden
F,Tunisia
G,England
G,Croatia
G,Ghana
G,Panama
H,Spain
H,Cape Verde
H,Saudi Arabia
H,Uruguay
I,France
I,Senegal
I,Iraq
I,Norway
J,Argentina
J,Algeria
J,Austria
J,Jordan
K,Portugal
K,Colombia
K,DR Congo
K,Uzbekistan
L,Belgium
L,Egypt
L,Iran
L,New Zealand
